sequence,batchId,catalog,id,name,tier,gridW,gridH,aspect,resolution,targetFile,finalFile,replacementReasons,promptSource,prompt,negative
38,belts-01,belts,mithril_belt,Митрильный пояс,5,2,1,1:1,1024x1024,art-candidates/items/belts/mithril_belt.webp,icons/items/belts/mithril_belt.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Митрильный пояс"", fantasy waist belt pouches straps buckle studs utility loops; roughly 12 pouch slots narrative hint and 4 side mounts for weapon frogs quivers holsters; leather textile mixed metals; noble artisan embossed fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
39,belts-01,belts,siege_belt,Осадный пояс,6,2,1,1:1,1024x1024,art-candidates/items/belts/siege_belt.webp,icons/items/belts/siege_belt.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Осадный пояс"", fantasy waist belt pouches straps buckle studs utility loops; roughly 12 pouch slots narrative hint and 5 side mounts for weapon frogs quivers holsters; leather textile mixed metals; elite siege train officer workshop, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
40,belts-01,belts,runners_light_harness,Облегчённая портупея бегуна,7,2,1,1:1,1024x1024,art-candidates/items/belts/runners_light_harness.webp,icons/items/belts/runners_light_harness.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Облегчённая портупея бегуна"", fantasy waist belt pouches straps buckle studs utility loops; roughly 15 pouch slots narrative hint and 4 side mounts for weapon frogs quivers holsters; leather textile mixed metals; rare siege caravan engineered spectacle, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
41,belts-01,belts,darkiron_chain_belt,Цепной пояс из тёмного железа,8,2,1,1:1,1024x1024,art-candidates/items/belts/darkiron_chain_belt.webp,icons/items/belts/darkiron_chain_belt.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Цепной пояс из тёмного железа"", fantasy waist belt pouches straps buckle studs utility loops; roughly 14 pouch slots narrative hint and 6 side mounts for weapon frogs quivers holsters; leather textile mixed metals; starmetal accents artifact hints, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
42,belts-01,belts,orichalcum_girdle,Пояс Орихалка,9,2,1,1:1,1024x1024,art-candidates/items/belts/orichalcum_girdle.webp,icons/items/belts/orichalcum_girdle.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Пояс Орихалка"", fantasy waist belt pouches straps buckle studs utility loops; roughly 16 pouch slots narrative hint and 7 side mounts for weapon frogs quivers holsters; leather textile mixed metals; legendary planar shimmer restrained, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
43,belts-01,belts,astral_command_girdle,Астральная портупея командора,10,2,1,1:1,1024x1024,art-candidates/items/belts/astral_command_girdle.webp,icons/items/belts/astral_command_girdle.webp,"untracked-development-placeholder,deterministic-baseline-category",fallback,"Concept ""Астральная портупея командора"", a single fantasy utility belt, mythic godsteel, adamant core, reality-bending magical highlights, centered inventory composition, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
44,backpacks-01,backpacks,hip_pouch,Поясная сумка,1,1,2,1:2,768x1536,art-candidates/items/backpacks/hip_pouch.webp,icons/items/backpacks/hip_pouch.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Поясная сумка"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
45,backpacks-01,backpacks,leather_satchel,Кожаная сумка,1,2,2,1:1,1024x1024,art-candidates/items/backpacks/leather_satchel.webp,icons/items/backpacks/leather_satchel.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Кожаная сумка"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x2 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
46,backpacks-01,backpacks,small_sack,Небольшой мешок,1,2,2,1:1,1024x1024,art-candidates/items/backpacks/small_sack.webp,icons/items/backpacks/small_sack.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Небольшой мешок"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x2 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
47,backpacks-01,backpacks,hunters_bag,Охотничья сума,2,2,3,1:1,1024x1024,art-candidates/items/backpacks/hunters_bag.webp,icons/items/backpacks/hunters_bag.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Охотничья сума"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x3 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
48,backpacks-01,backpacks,soldier_pack,Солдатский ранец,2,2,3,1:1,1024x1024,art-candidates/items/backpacks/soldier_pack.webp,icons/items/backpacks/soldier_pack.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Солдатский ранец"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x3 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
49,backpacks-01,backpacks,travelers_pack,Дорожный ранец,2,2,3,1:1,1024x1024,art-candidates/items/backpacks/travelers_pack.webp,icons/items/backpacks/travelers_pack.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Дорожный ранец"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x3 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
50,backpacks-01,backpacks,frame_pack,Рамный рюкзак,3,2,4,1:2,768x1536,art-candidates/items/backpacks/frame_pack.webp,icons/items/backpacks/frame_pack.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Рамный рюкзак"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x4 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
51,backpacks-01,backpacks,large_backpack,Большой рюкзак,3,2,4,1:2,768x1536,art-candidates/items/backpacks/large_backpack.webp,icons/items/backpacks/large_backpack.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Большой рюкзак"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x4 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
52,backpacks-01,backpacks,alchemist_satchel,Сумка алхимика,4,2,3,1:1,1024x1024,art-candidates/items/backpacks/alchemist_satchel.webp,icons/items/backpacks/alchemist_satchel.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Сумка алхимика"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x3 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
53,backpacks-01,backpacks,mithril_pack,Митрильный рюкзак,5,2,4,1:2,768x1536,art-candidates/items/backpacks/mithril_pack.webp,icons/items/backpacks/mithril_pack.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Митрильный рюкзак"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; noble artisan embossed fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x4 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
54,backpacks-01,backpacks,caravan_master_pack,Рюкзак караванного бариши,6,2,4,1:2,768x1536,art-candidates/items/backpacks/caravan_master_pack.webp,icons/items/backpacks/caravan_master_pack.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Рюкзак караванного бариши"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; elite siege train officer workshop, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x4 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
55,backpacks-01,backpacks,beast_load_frame,Вьючная рама для зверя,7,2,4,1:2,768x1536,art-candidates/items/backpacks/beast_load_frame.webp,icons/items/backpacks/beast_load_frame.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Вьючная рама для зверя"", emphasis saddle straps beast harness mount frames oversized haul bag meant for draft animal NOT worn by human silhouette alonefantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; rare siege caravan engineered spectacle, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x4 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
56,backpacks-01,backpacks,void_satchel,Сумка Пустоты,8,2,3,1:1,1024x1024,art-candidates/items/backpacks/void_satchel.webp,icons/items/backpacks/void_satchel.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Сумка Пустоты"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; starmetal accents artifact hints, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x3 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
57,backpacks-01,backpacks,planar_satchel,Планарная сумка,9,2,4,1:2,768x1536,art-candidates/items/backpacks/planar_satchel.webp,icons/items/backpacks/planar_satchel.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Планарная сумка"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; legendary planar shimmer restrained, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x4 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
58,backpacks-01,backpacks,demiplane_pack,Рюкзак малой демиплоскости,10,2,4,1:2,768x1536,art-candidates/items/backpacks/demiplane_pack.webp,icons/items/backpacks/demiplane_pack.webp,"untracked-development-placeholder,deterministic-baseline-category",fallback,"Concept ""Рюкзак малой демиплоскости"", a single fantasy backpack or pouch, mythic godsteel, adamant core, reality-bending magical highlights, vertical item orientation, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 2x4 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
59,attachments-01,attachments,chest_pocket,Нагрудный карман,1,1,1,1:1,1024x1024,art-candidates/items/attachments/chest_pocket.webp,icons/items/attachments/chest_pocket.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Нагрудный карман"", torso harness modular straps threaded clips climbing buckle tactical vest snippet; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x1 grid footprint, 1:1, 1024x1024. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
